method,seed,dataset,tsne_used,tsne_time (s),tsne_params,umap_used,umap_time (s),umap_params,clustering_method,n_clusters,ari,silhouette,clustering_time (s)
Graph2Vec,42,ENZYMES,True,9.766037702560425,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.74826979637146,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.013673716368007833,0.03405344,0.01392054557800293
Graph2Vec,42,ENZYMES,True,9.766037702560425,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.74826979637146,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.01215145385472865,0.030948728,0.1604464054107666
Graph2Vec,42,MUTAG,True,1.375577449798584,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33697032928466797,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.11607334802618115,0.14505668,0.0031480789184570312
Graph2Vec,42,MUTAG,True,1.375577449798584,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33697032928466797,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,0.13348777759094238,0.29115075,0.02656412124633789
Graph2Vec,42,IMDB-MULTI,True,22.041151762008667,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,5.965983867645264,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.007779433830880978,0.17470129,0.013998031616210938
Graph2Vec,42,IMDB-MULTI,True,22.041151762008667,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,5.965983867645264,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,5.949398193505369e-05,0.020243527,0.29761290550231934
NetLSD,42,ENZYMES,True,7.852393627166748,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3131639957427979,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.010641924829805504,0.42576668,0.01099085807800293
NetLSD,42,ENZYMES,True,7.852393627166748,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3131639957427979,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.02557976390105115,0.2803817,0.09743118286132812
NetLSD,42,MUTAG,True,0.8935327529907227,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33093762397766113,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.3258404808517252,0.57350546,0.0030317306518554688
NetLSD,42,MUTAG,True,0.8935327529907227,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.33093762397766113,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,0.267375357876457,0.57110614,0.03680109977722168
NetLSD,42,IMDB-MULTI,True,17.489015340805054,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,10.362378120422363,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.015675327556667538,0.5459767,0.013570547103881836
NetLSD,42,IMDB-MULTI,True,17.489015340805054,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,10.362378120422363,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,0.008522719399511507,0.2311768,0.3897421360015869
GIN,42,ENZYMES,True,8.71650767326355,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3779187202453613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,6,0.01040157143652227,0.16337758,0.0057489871978759766
GIN,42,ENZYMES,True,8.71650767326355,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,1.3779187202453613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,6,0.020185592975658802,0.11565163,0.10302448272705078
GIN,42,MUTAG,True,1.191850185394287,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.3256676197052002,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,2,0.27805672373452506,0.30160668,0.0024013519287109375
GIN,42,MUTAG,True,1.191850185394287,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,0.3256676197052002,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,2,-0.03113518520218393,0.27792838,0.029292583465576172
GIN,42,IMDB-MULTI,True,17.667789936065674,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.767332792282104,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",kmeans,3,0.0012223334802609006,0.86733055,0.009351730346679688
GIN,42,IMDB-MULTI,True,17.667789936065674,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 42}",True,8.767332792282104,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 42}",spectral,3,0.00030495326692057435,-0.10439262,1.072761058807373
Graph2Vec,43,ENZYMES,True,7.928875684738159,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.4399335384368896,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,6,0.018752508559969756,0.042058963,0.009394407272338867
Graph2Vec,43,ENZYMES,True,7.928875684738159,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.4399335384368896,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,6,0.013915838362670085,0.030956546,0.2909810543060303
Graph2Vec,43,MUTAG,True,1.548525094985962,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.3400278091430664,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,2,0.12491724089033342,0.28658164,0.0038366317749023438
Graph2Vec,43,MUTAG,True,1.548525094985962,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.3400278091430664,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,2,0.08233784737141284,0.27444917,0.03336143493652344
Graph2Vec,43,IMDB-MULTI,True,20.87688636779785,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,6.470407724380493,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,3,7.625385115727525e-05,0.23238124,0.006396293640136719
Graph2Vec,43,IMDB-MULTI,True,20.87688636779785,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,6.470407724380493,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,3,-3.5572184984523024e-05,0.015596425,0.32570457458496094
NetLSD,43,ENZYMES,True,6.309252023696899,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.9635918140411377,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,6,0.017485419149033392,0.43765646,0.014166831970214844
NetLSD,43,ENZYMES,True,6.309252023696899,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.9635918140411377,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,6,0.02557976390105115,0.28038174,0.13043451309204102
NetLSD,43,MUTAG,True,1.267268180847168,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.33261728286743164,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,2,0.369631633404891,0.59117156,0.003255128860473633
NetLSD,43,MUTAG,True,1.267268180847168,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.33261728286743164,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,2,0.267375357876457,0.5711059,0.0343019962310791
NetLSD,43,IMDB-MULTI,True,17.402419567108154,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,8.983086585998535,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,3,0.005412901405978322,0.5207199,0.030621051788330078
NetLSD,43,IMDB-MULTI,True,17.402419567108154,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,8.983086585998535,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,3,0.004947545718724332,0.16556962,0.6054840087890625
GIN,43,ENZYMES,True,8.155011892318726,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.4379234313964844,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,6,0.03364110431373218,0.18285063,0.009141683578491211
GIN,43,ENZYMES,True,8.155011892318726,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,1.4379234313964844,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,6,0.06443484858214148,0.15919839,0.08073616027832031
GIN,43,MUTAG,True,1.2353365421295166,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.3399839401245117,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,2,0.1258290966592215,0.574688,0.0026590824127197266
GIN,43,MUTAG,True,1.2353365421295166,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,0.3399839401245117,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,2,0.2552296798852584,0.34480846,0.0314333438873291
GIN,43,IMDB-MULTI,True,17.247068166732788,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,10.63341736793518,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",kmeans,3,0.012932861371054117,0.6303304,0.005918741226196289
GIN,43,IMDB-MULTI,True,17.247068166732788,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 43}",True,10.63341736793518,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 43}",spectral,3,0.0009674695684198411,-0.27921018,0.40453624725341797
Graph2Vec,44,ENZYMES,True,8.970489740371704,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,1.456399917602539,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,6,0.02208507514222212,0.042359922,0.0084991455078125
Graph2Vec,44,ENZYMES,True,8.970489740371704,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,1.456399917602539,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,6,0.019748268487041056,0.029392548,0.13608622550964355
Graph2Vec,44,MUTAG,True,1.0138943195343018,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.3319673538208008,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,2,0.11038274263744546,0.29029316,0.003947019577026367
Graph2Vec,44,MUTAG,True,1.0138943195343018,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.3319673538208008,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,2,0.140298803786719,0.2911061,0.02508401870727539
Graph2Vec,44,IMDB-MULTI,True,22.019578218460083,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,4.918210506439209,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,3,0.004420791808718271,0.19496958,0.01912069320678711
Graph2Vec,44,IMDB-MULTI,True,22.019578218460083,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,4.918210506439209,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,3,0.000288187968120125,0.0026658792,0.45546412467956543
NetLSD,44,ENZYMES,True,6.647605895996094,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,1.3075060844421387,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,6,0.017485419149033392,0.4376562,0.010139703750610352
NetLSD,44,ENZYMES,True,6.647605895996094,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,1.3075060844421387,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,6,0.02557976390105115,0.2803815,0.09330487251281738
NetLSD,44,MUTAG,True,1.7591049671173096,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.46867966651916504,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,2,0.30202891403397336,0.57568735,0.004296302795410156
NetLSD,44,MUTAG,True,1.7591049671173096,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.46867966651916504,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,2,0.267375357876457,0.5711058,0.0651712417602539
NetLSD,44,IMDB-MULTI,True,19.17121386528015,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,8.804889440536499,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,3,0.005412901405978322,0.5207199,0.011062860488891602
NetLSD,44,IMDB-MULTI,True,19.17121386528015,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,8.804889440536499,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,3,0.0026662060945280616,0.064201236,0.6082613468170166
GIN,44,ENZYMES,True,8.033221960067749,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,2.0547237396240234,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,6,0.04218488431930083,0.12033007,0.01482701301574707
GIN,44,ENZYMES,True,8.033221960067749,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,2.0547237396240234,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,6,0.041833418965185935,0.1305483,0.16698551177978516
GIN,44,MUTAG,True,1.5035252571105957,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.33322644233703613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,2,0.30169828185519915,0.56359106,0.003909111022949219
GIN,44,MUTAG,True,1.5035252571105957,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,0.33322644233703613,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,2,-0.060745476132641085,0.43632567,0.03011178970336914
GIN,44,IMDB-MULTI,True,18.50732159614563,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,10.315692663192749,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",kmeans,3,0.00021533409659759987,0.9914549,0.005399465560913086
GIN,44,IMDB-MULTI,True,18.50732159614563,"{""n_components"": 2, ""perplexity"": 35.0, ""learning_rate"": ""auto"", ""n_iter"": 1500, ""random_state"": 44}",True,10.315692663192749,"{""n_components"": 2, ""n_neighbors"": 15, ""min_dist"": 0.1, ""metric"": ""euclidean"", ""random_state"": 44}",spectral,3,0.0015100189008238406,-0.77276254,0.5032668113708496
